Japanese;English;French;
"のぼる";"Climb up";"Grimper";
"ジャンプ";"Jump";"Sauter";
"ぶらさがる";"Drop down";"Se suspendre";
"おりる";"Let go";"Lâcher";
"ひらく";"Open";"Ouvrir";
"おく";"Put down";"Poser";
"なげる";"Throw";"Jeter";
"もぐる";"Burrow";"S'engouffrer";
"ころがす";"Roll";"Faire rouler";
"うごかす";"Move";"Déplacer";
"つかむ";"Grab";"Saisir";
"うつ";"Shoot";"Tirer";
"はなす";"Talk";"Parler";
"しらべる";"Examine";"Examiner";
"剣でえがく";"Draw";"Dessiner";
"ふく";"Blow";"Souffler";
"およぐ";"Swim";"Nager";
"とびうつる";"Leap";"Bondir";
"ダッシュ";"Dash";"Foncer";
"おりる";"Get out";"Descendre";
"もつ";"Pick up";"Prendre";
"すわる";"Sit";"S'asseoir";
"たつ";"Stand";"Se lever";
"ほる";"Dig";"Creuser";
"ふりほどく";"Break free";"Se libérer";
"うえる";"Plant";"Planter";
"つかまえる";"Catch";"Attraper";
"加速する";"Speed up";"Accélérer";
"パラショール";"Sailcloth";"Parachâle";
"しまう";"Put away";"Rengainer";
"でる";"Emerge";"Sortir";
"はめる";"Insert";"Insérer";
"まわす";"Turn";"Tourner";
"おしこむ";"Push in";"Enfoncer";
"ひきしぼる";"Draw bow";"Bander l'arc";
"こぐ";"Swing";"Se balancer";
"バランス";"Balance";"Garder l'équilibre";
"ゆらす";"Jostle";"Secouer";
"やすむ";"Sleep";"Dormir";
"おとす";"Drop";"Lâcher";
"とばす";"Launch";"Lancer";
"よむ";"Read";"Lire";
"ふる";"Whip";"Coup de fouet";
"ひっぱる";"Pull";"Tirer";
"のむ";"Drink";"Boire";
"のる";"Get in";"Monter";
"うてぇ！";"Fire";"Feu !";
"アタック";"Attack";"Attaquer";
"とどめ";"Fatal blow";"Coup de grâce";
"とびおりる";"Jump down";"Descendre";
"かなでる";"Strum";"Jouer";
"はなす";"Release";"Lâcher";
"つかむ";"Grab";"Saisir";
"かまえる";"Ready stance";"Se préparer";
"ぬく";"Remove";"Retirer";
"かまえる";"Ready sword";"Se préparer";
"さす";"Thrust sword";"Planter";
"つかう";"Use";"Utiliser";
"すくう";"Scoop";"Prélever";
"みまわす";"Look";"Vue subjective";
"ダウジング";"Dowse";"Détection";
"せんかい";"Pilot";"Diriger";
"みおろす";"Look down";"Vue aérienne";
"ダイビング";"Dive";"Chute libre";
"えらぶ";"Select";"Sélectionner";
"つかむ";"Grab";"Saisir";
"うごかす";"Move";"Déplacer";
"加速する";"Accelerate";"Accélérer";
"アタック";"Charge";"Attaque";
"かたむける";"Lean";"Incliner";
"けってい";"Press";"Enfoncer";
"のぼる";"Climb up";"Grimper";
"ジャンプ";"Jump";"Sauter";
"ぶらさがる";"Drop down";"Se suspendre";
"おりる";"Let go";"Lâcher";
"ひらく";"Open";"Ouvrir";
"おく";"Drop";"Poser";
"なげる";"Throw";"Jeter";
"もぐる";"Burrow";"S'engouffrer";
"ころがす";"Roll";"Faire rouler";
"うごかす";"Move";"Déplacer";
"つかむ";"Grab";"Saisir";
"うつ";"Shoot";"Tirer";
"はなす";"Talk";"Parler";
"しらべる";"Examine";"Examiner";
"剣でえがく";"Draw";"Dessiner";
"ふく";"Blow";"Souffler";
"およぐ";"Swim";"Nager";
"とびうつる";"Leap";"Bondir";
"ダッシュ";"Dash";"Foncer";
"おりる";"Get out";"Descendre";
"もつ";"Pick up";"Prendre";
"すわる";"Sit";"S'asseoir";
"たつ";"Stand";"Se lever";
"ほる";"Dig";"Creuser";
"ふりほどく";"Break free";"Se libérer";
"うえる";"Plant";"Planter";
"つかまえる";"Catch";"Attraper";
"加速する";"Speed up";"Accélérer";
"パラショール";"Sailcloth";"Parachâle";
"しまう";"Put away";"Rengainer";
"でる";"Emerge";"Sortir";
"はめる";"Insert";"Insérer";
"まわす";"Turn";"Tourner";
