Japanese;English;French;
"あける";"Open";"Ouvrir";
"も つ";"Pick up";"Soulever";
"なげる";"Throw";"Lancer";
"はなす";"Talk";"Parler";
"トーテム";"Totem";"Totem";
"と る";"Take";"Prendre";
"よ む";"Read";"Lire";
"み る";"Look";"Regarder";
"ふれる";"Touch";"Toucher";
"つかむ";"Grab";"Saisir";
"はいる";"Enter";"Entrer";
"おりる";"Get down";"Descendre";
"しらべる";"Check";"Examiner";
"かそく";"Boost";"Accélérer";
"　　　　写真をアルバムに保存しました
　　　　  　あと[Number of Sheet]保存できます";"      Your photo has been saved to
   the album. You can save [Number] more.";"　　 La photo a été sauvegardée
       dans l'album. Vous pouvez
     encore en sauvegarder [Number] !";
"　　　　　全員の準備を待っています
　　　　 　しばらくお待ちください";"
              Waiting for others...";"
     En attente des autres joueurs...";
"　　　　　 　　セーブ中です…
　　　　　電源を切らないでください";"                      Saving...
         Do not turn the power off.";"                  Sauvegarde...
         N'éteignez pas la console.";
"　　　 　　セーブが終了しました";"
              Saved successfully.";"
              Partie sauvegardée.";
"           アルバムがいっぱいなので
          写真を保存できませんでした
 ミーバース写真館で「アルバム編集」を選んで
         いらない写真を削除してください";"          Could not save the photo
         because your album is full.

          Select "Edit album" in the
        Miiverse Gallery and delete
       some photos you don't need.";"               L'album est plein.
 La photo n'a pas pu être sauvegardée.

  Sélectionnez « Gérer l'album » dans
la galerie Miiverse et effacez quelques
photos dont vous pouvez vous passer.";
"        写真をアルバムに保存しました
    これでアルバムがいっぱいになりました
    　　 アルバムはミーバース写真館で
              編集することができます";"      Your photo has been saved and
             the album is now full.

      You can edit your album in the
        Miiverse Gallery in the town.";"        La photo a été sauvegardée.
     Votre album est désormais plein.

      Pour gérer votre album, rendez-
 vous en ville dans la galerie Miiverse.";
"　　 このSDカードにはセーブできません";"
        Cannot save to this SD Card.";"            Sauvegarde impossible
              sur cette carte SD.";
"電源を切って
SDカードのロックを解除し
差し直してください";"Please turn off the power,
move the SD Card's
write-protection switch to
the off position, then reinsert
the SD Card.";"La carte SD est protégée en
écriture. Éteignez la console,
retirez la protection de la
carte SD, puis réinsérez-la
dans la console.";
"SDカードの認識に失敗しました
電源を切ってSDカードの状態を
確認してください";"Could not recognise SD Card.
Please turn the power off and
reinsert it.";"L'accès à la carte SD a
échoué. Éteignez la console,
puis réinsérez la carte SD.";
"このソフトの追加データが
壊れているので作り直します";"The extra data for this
software is corrupted. New
extra data will be created.";"Les données additionnelles
du logiciel sont corrompues.
De nouvelles données vont
être créées.";
"はい";"OK";"OK";
"このソフトの追加データが
壊れているので作り直します";"The extra data for this
software is corrupted. New
extra data will be created.";"Les données additionnelles
du logiciel sont corrompues.
De nouvelles données vont
être créées.";
"このソフトの追加データを
SDカードに作ります";"Extra data for this software
will be created on the
SD Card.";"Les données additionnelles
du logiciel seront créées
sur la carte SD.";
"はい";"OK";"OK";
"このソフトの追加データを
SDカードに作ります";"Extra data for this software
will be created on the
SD Card.";"Les données additionnelles
du logiciel seront créées
sur la carte SD.";
"追加データを作っています……";"Creating extra data...";"Création des données
additionnelles...";
"SDカードの空き容量が足りないため
追加データを作成できませんでした
ゲームを進めることはできますが
一部のデータはセーブはされません";"Could not create extra data
because there is not enough
space on the SD Card. You
can continue playing, but
some data will not be saved.";"Les données n'ont pas pu être
créées car il n'y a pas assez
d'espace libre sur la carte SD.
Vous pouvez jouer, mais vous
perdrez certaines données.";
"はい";"OK";"OK";
"SDカードの空き容量が足りないため
追加データを作成できませんでした
ゲームを進めることはできますが
セーブはされません";"Could not create extra data
because there is not enough
space on the SD Card. You
can continue playing, but will
not be able to save progress.";"Les données n'ont pas pu être
créées car il n'y a pas assez
d'espace libre sur la carte SD.
Vous pouvez jouer, mais votre
progression sera perdue.";
"追加データを作成できませんでした
ゲームを進めることはできますが
一部のデータはセーブはされません";"Could not create extra data.
You can continue playing the
game, but some data will not
be saved.";"Les données additionnelles
n'ont pas pu être créées. Vous
pouvez continuer à jouer mais
certaines données ne seront
pas sauvegardées.";
"はい";"OK";"OK";
"追加データを作成できませんでした
ゲームを進めることはできますが
セーブはされません";"Could not create extra data.
You can continue playing the
game, but you will not be able
to save your progress.";"Les données additionnelles
n'ont pas pu être créées. Vous
pouvez continuer à jouer mais
votre progression ne sera
pas sauvegardée.";
"SDカードにダウンロードプレイで
遊んだデータがセーブされています
ゲームを進めると セーブデータを
反映させるイベントが発生します";"You will have the chance to 
carry over data saved during
Download Play from a certain
point in the game.";"Les données sauvegardées en
mode téléchargement seront
prises en compte à partir d'un
certain point du jeu.";
"はい";"OK";"OK";
"製品版を遊んだ方は
ダウンロードプレイでの
セーブデータを製品版に
反映することはできません";"If you have been playing the
full version of the game, your
Download Play save data will
not carry over to the full
version.";"Les données sauvegardées en
mode téléchargement ne
seront pas prises en compte
si vous avez déjà utilisé la
version complète.";
"通信中です しばらくお待ちください";"
         Connecting. Please wait...";"        Communication en cours...
              Veuillez patienter.";
"通信中です しばらくお待ちください";"
         Connecting. Please wait...";"        Communication en cours...
              Veuillez patienter.";
"エラーが発生しました もう一度やり直してください";"
  An error occurred. Please try again.";"
 Une erreur est survenue. Réessayez.";
"エラーが発生しました ゲームを終了いたします";"
    An error occurred. Ending game.";"         Une erreur est survenue.
          Vous allez quitter le jeu.";
"コースを選択してください";"Select a level";"Sélectionnez un niveau.";
"Press  to Start";"Press  to start";"Appuyez sur  pour commencer.";
"Thank You for Playing !";"Thanks for playing!";"Merci d'avoir joué !";
" 2015 Nintendo";"2015 Nintendo";"2015 Nintendo";
"通信が切れました";"You have been disconnected.";"La communication a été interrompue.";
"本体にニンテンドーeショップがインストールされていません";"Nintendo eShop is not installed
on this system.";"Le Nintendo eShop n'est pas installé
sur cette console.";
"[InsertMark]を手に入れた!";"You got [InsertMark]!";"Vous avez obtenu
[InsertMark] !";
"カギ";"a key";"une clé";
"カメラ";"the camera";"un appareil photo";
"1ルピー";"1 Rupee";"1 rubis";
"5ルピー";"5 Rupees";"5 rubis";
"20ルピー";"20 Rupees";"20 rubis";
"100ルピー";"100 Rupees";"100 rubis";
"300ルピー";"300 Rupees";"300 rubis";
"ハート";"a heart";"un cœur";
"ハート3";"3 hearts";"trois cœurs";
"ダサいタイツ";"the Semi-Cursed Tights";"un collant ringard";
"50ルピー";"50 Rupees";"50 rubis";
"アレ? まだ何かあるぞ";"
 Hey, there's something else here!";"
Mh ? Il y a encore quelque chose !";
"マダムテーラー";"Madame Couture's";"Madame la couturière";
"毎日たからばこ屋";"Daily Riches";"Magotidien";
"ミーバース写真館";"Miiverse Gallery";"Galerie Miiverse";
"[ColoringStart][InsertMark][ColoringEnd]がハートゲット!";"[ColoringStart][InsertMark][ColoringEnd] got a heart!";"[ColoringStart][InsertMark][ColoringEnd] a trouvé un cœur !";
"[ColoringStart][InsertMark][ColoringEnd]が[Number of Rupee]ゲット!";"[ColoringStart][InsertMark][ColoringEnd] got three hearts!";"[ColoringStart][InsertMark][ColoringEnd] a trouvé trois cœurs !";
"[ColoringStart][InsertMark][ColoringEnd]がダメージをうけた";"[ColoringStart][InsertMark][ColoringEnd] got [Number of Rupee]!";"[ColoringStart][InsertMark][ColoringEnd] a obtenu [Number of Rupee] !";
"[ColoringStart][InsertMark][ColoringEnd]が落ちた…";"[ColoringStart][InsertMark][ColoringEnd] took damage!";"[ColoringStart][InsertMark][ColoringEnd] a subi des dégâts !";
"[ColoringStart][InsertMark][ColoringEnd]が宝箱をあけた!";"[ColoringStart][InsertMark][ColoringEnd] fell...";"[ColoringStart][InsertMark][ColoringEnd] est tombé...";
"[ColoringStart][InsertMark][ColoringEnd]がカギを手に入れた!";"[ColoringStart][InsertMark][ColoringEnd] opened a treasure chest!";"[ColoringStart][InsertMark][ColoringEnd] a ouvert un coffre !";
"ハートがすくない!";"[ColoringStart][InsertMark][ColoringEnd] got a key!";"[ColoringStart][InsertMark][ColoringEnd] a obtenu une clé !";
"ピンチ!";"You're low on hearts!";"Vous n'avez plus beaucoup de cœurs !";
"キケン!";"You're nearly done for!";"Attention !";
"ヤバイ!";"You're barely holding on!";"Danger !";
"[ColoringStart][InsertMark][ColoringEnd]がやってきました";"You're on your last legs!";"Aïe, aïe, aïe !";
"仲間と合流しました";"[ColoringStart][InsertMark][ColoringEnd] has arrived!";"[ColoringStart][InsertMark][ColoringEnd] a rejoint le hall !";
"注文した服が届きました";"The heroes have united!";"Les héros se sont rejoints !";
"マダムテーラーに服が追加されました";"The outfit you ordered has arrived!";"La tenue que vous avez commandée est arrivée !";
"新しいエリアがオープンしました";"New outfits are available at Madame Couture's!";"De nouvelles tenues sont disponibles chez Madame la couturière !";
"[ColoringStart][InsertMark][ColoringEnd]は[ColoringStart][InsertMark][ColoringEnd]のことが気になっているようだ";"New areas have been unlocked!";"La carte des contrées maudites a été mise à jour !";
"[ColoringStart]トーテム![ColoringEnd]";"[ColoringStart][InsertMark][ColoringEnd] is curious about [ColoringStart][InsertMark][ColoringEnd].";"[ColoringStart][InsertMark][ColoringEnd] est intrigué par [ColoringStart][InsertMark][ColoringEnd].";
"君のコスチュームカラーは[ColoringStart]緑[ColoringEnd]だ!";"[ColoringStart]Totem time! [ColoringEnd]";"[ColoringStart]1, 2, 3, totem ! [ColoringEnd]";
"君のコスチュームカラーは[ColoringStart]青[ColoringEnd]だ!";"Your colour is [ColoringStart]green[ColoringEnd]!";"Vous êtes en [ColoringStart]vert[ColoringEnd] !";
"君のコスチュームカラーは[ColoringStart]赤[ColoringEnd]だ!";"Your colour is [ColoringStart]blue[ColoringEnd]!";"Vous êtes en [ColoringStart]bleu[ColoringEnd] !";
"あと[Number of Second]!!";"Your colour is [ColoringStart]red[ColoringEnd]!";"Vous êtes en [ColoringStart]rouge[ColoringEnd] !";
"残り[Number of Second]でロビーに戻ります";"[Number of Second] left!!";"Il reste [Number of Second] !";
"[ColoringStart][InsertMark][ColoringEnd]がツボを落としてしまった";"Returning to lobby in [Number of Second].";"Retour au hall dans [Number of Second].";
"[ColoringStart][InsertMark][ColoringEnd]がフォールマスターにつかまった";"[ColoringStart][InsertMark][ColoringEnd] dropped the pot!";"[ColoringStart][InsertMark][ColoringEnd] a fait tomber le vase !";
"[ColoringStart][InsertMark][ColoringEnd]が風船を割ってしまった";"[ColoringStart][InsertMark][ColoringEnd] got caught by the Wallmaster!";"La Main a attrapé [ColoringStart][InsertMark][ColoringEnd] !";
"[ColoringStart][InsertMark][ColoringEnd]がエリアの外に出てしまった";"[ColoringStart][InsertMark][ColoringEnd] popped a balloon!";"[ColoringStart][InsertMark][ColoringEnd] a fait éclater un ballon !";
"[ColoringStart][InsertMark][ColoringEnd]が流砂にのみ込まれた";"[ColoringStart][InsertMark][ColoringEnd] left the designated area!";"[ColoringStart][InsertMark][ColoringEnd] a quitté la zone !";
"[ColoringStart][InsertMark][ColoringEnd]がダウンした";"[ColoringStart][InsertMark][ColoringEnd] got swallowed up by quicksand!";"[ColoringStart][InsertMark][ColoringEnd] s'est fait engloutir par les sables !";
"[ColoringStart][InsertMark][ColoringEnd]が敵につかまった";"[ColoringStart][InsertMark][ColoringEnd] fainted!";"[ColoringStart][InsertMark][ColoringEnd] est K.-O. !";
"[ColoringStart][InsertMark][ColoringEnd]が火山弾にあたった";"[ColoringStart][InsertMark][ColoringEnd] got caught by an enemy!";"Un ennemi a capturé [ColoringStart][InsertMark][ColoringEnd] !";
"[ColoringStart][InsertMark][ColoringEnd]が氷雪弾にあたった";"[ColoringStart][InsertMark][ColoringEnd] got hit by a volcanic rock!";"[ColoringStart][InsertMark][ColoringEnd] a été touché par une boule de lave !";
"風船がわれてしまった…";"[ColoringStart][InsertMark][ColoringEnd] got hit by a snowball!";"[ColoringStart][InsertMark][ColoringEnd] a été touché par une boule de neige !";
"";"A balloon got popped...";"Un ballon a éclaté...";
"この物語の「はじまり」を
お聞かせしましょう";"Let me tell you how all this started.";"Laissez-moi vous raconter comment
tout cela a commencé.";
"あるところに
オシャレを愛する王国がありました
国民達はいつもオシャレ話に夢中です
とりわけ その話の中心になるのが
王国一美しくオシャレなフリル姫でした";"Once, there was a kingdom in love
with fashion. The people there lived
and breathed it, lovely and stylish.
And of them all, none were more lovely
and stylish than the Princess Styla.";"Il était un royaume amoureux de la mode.
Ses élégants habitants se vêtaient avec
goût et parlaient vêtements tout le jour.
Dans ce royaume, nul n'avait plus de goût
ni de grâce que la princesse Mousseline.";
"しかし… そんなフリル姫を
良く思わない者がたった一人いました
魔境に住む魔女です";"Alas... There was one who
did not wish the princess well.
A witch, residing in the Drablands.";"Hélas... il se trouvait une personne à qui la
princesse inspirait de funestes desseins. 
C'était la sorcière des contrées maudites.";
"ある日 フリル姫に
贈り物が届きました";"On the fateful day, a gift-wrapped
parcel was delivered to the princess.";"Or, un beau jour, un cadeau
fut présenté à la princesse.";
"贈り主がかかれていない 怪しい箱でしたが
あまりにもオシャレな箱に魅了され
フリル姫はつい ふたを開けてしまったのです";"The sender? Unknown. Suspicious?
Well, of course, but a box so fancy the
princess could not help but open.";"D'expéditeur inconnu, le présent était fort
louche. Las ! La boîte était si élégante que
son Altesse ne put s'empêcher de l'ouvrir.";
"フリル姫は怪しい煙に包まれ
見るも恥ずかしい姿となってしまいました
「アンタにはそれがお似合いだよ」
どこからか声がしました
その贈り主は あの魔女だったのです";"When the dark smoke had cleared, 
the princess was clad head to toe in
clothes she wouldn't be seen dead in.
"I fancied it'd suit you!", she heard a
voice say. The box was from the witch!";"Une fois la fumée dissipée, la princesse
se retrouva affublée d'une tenue si
ridicule qu'elle crut mourir de honte.
Un rire se fit entendre : « Cela te va à
ravir ! » Le cadeau venait de la sorcière !";
