Japanese;English;French;
"ダイ";"Max";"Pierre";
"風のタクト 移植ばんざい！ 昔 プレイした事はあるけど もうすっかり忘れた。だから新鮮な気持ちでプレイできるぞ。";"Wind Waker's back! It's been so long since I played it, it's like it's an entirely new game to me!";"Wind Waker est de retour !! J'y ai pas joué depuis tellement longtemps que j'ai l'impression de le redécouvrir...";
"ケンイチ";"Kenichi";"Marc";
"ああ もうダメ・・・ これ以上 いける気がしない";"This is getting rough... It's going to take everything I've got to get past this part.";"Aïe, ça se complique... Va falloir s'accrocher pour passer à la suite...";
"ディエゴ";"Patrick";"Luc";
"よっし！ 今日はここまでにして、フットサルに行って来よう！";"Well, looks like it's my bedtime, so I'd better hold off on any more sea adventuring for tonight!";"C'est l'heure d'aller au lit ! J'arrête mes aventures maritimes pour ce soir !";
"リョウタ";"Rudy";"Léo";
"みき";"Lilly";"Céline";
"タウラ島から 旅立ちたくない。一生ここで 骨をうずめようと思います。";"I don't ever want to leave Windfall Island. I wonder if I could find an apartment there...";"Je pourrais passer ma vie sur Mercantîle... Je me demande s'ils ont des apparts à louer ?";
"えいじ";"Ray";"Greg";
"えりこ";"Eriko";"Sophie";
"とおる";"Terry";"David";
" アリルかわいい＜＾＾＞；";"Aryll is so cute! ^_^";"Arielle est vraiment trop mignonne ! ^_^";
"おかむら";"Alex";"Esteban";
"フレックス";"Flex";"Laurent";
"プロロ島の 草は何度切ってもすぐ生えてくる。 草を刈ってる男性は、たぶん 一生刈る事になるんでしょうね。";"Doesn't matter how many times you cut the grass--it grows right back! Man, landscaping's rough!";"Tu peux couper l'herbe autant que tu veux, elle repoussera toujours... Le cauchemar du jardinier !";
"サキ";"Jeane";"Julie";
"この モンスターの 倒し方や秘密の情報を求む！";"Why do these guys keep attacking me? What did I ever do to them?! :(";"Mais qu'est-ce qu'ils ont à m'attaquer tout le temps ? Je leur ai rien fait, moi... :(";
"やすし";"Willie";"Jordan";
"船のスピード早くなってチョウ便利！  この新しい帆はぜったいにゲットすべし！";"This new sail makes travelling SO MUCH FASTER. Yes! Thank you!";"On avance CARRÉMENT PLUS VITE avec la nouvelle voile ! Ça fait plaisir !";
"トビー";"Toby";"Marcel";
"ジークロックは 結局ハンマーで 仮面をたたくが正解？";"I use the hammer to break the Helmaroc King's mask, right? That's the trick, right? Riiiiiight?";"Comment on détruit le masque du roi Cuirasse ? Avec la masse ou pas ?";
"さすけ";"Sasuke";"Albert";
"ジークロックが羽ばたく時の羽が飛び散りすぎぃぃぃ～～  戦い終わるころには、羽がなくなっちゃうよ。";"How many feathers does the Helmaroc King lose when he flaps his wings? Seems so wasteful!";"Le roi Cuirasse perd trop de plumes chaque fois qu'il bat des ailes... Ça m'étonne qu'il en ait encore...";
"えみ";"Emily";"Anne";
"トーマス";"Thomas";"Thomas";
"つ ついにボスを倒したぜ！ やった！ 感無量～～！";"YES! I FINALLY beat that boss! Who's the Hero of Winds? I'm the Hero of Winds!";"ÇA Y EST !! Je viens enfin d'avoir le boss !!! Saluez le nouveau Héros du vent !";
"リンク";"Link";"Link";
"ばあちゃんだいすき";"Chain";"Sandrine";
"おばあちゃんの スープが恋しい。 何度でも 戻ってくるからね";"I miss grandma's soup... You can't keep me away from grandma's soup!";"Une petite soupe de Mémé, ça serait pas de refus... C'est la meilleure du monde !";
"しみず";"Smith";"Camille";
"あおにゅま";"I. O. Numa";"Dominique";
"ジークロックは誰に お面をつけてもらったんでしょうか？";"I wonder where the Helmaroc King got that fancy mask. Seriously, where can I get a mask like that?";"Sympa, le masque du roi Cuirasse. Je me demande où il l'a trouvé !";
"たっきー";"Mikey";"Marc";
