Japanese;English;French;
"テールのほらあな";"Tail Cave";"caverne Flagello";
"ツボのどうくつ";"Bottle Grotto";"grotte du Génie";
"カギの穴ぐら";"Key Cavern";"souterrain aux Clés";
"アングラーの滝ツボ";"Angler's Tunnel";"abîme du Poisson";
"ナマズの大口";"Catfish's Maw";"Poisson-Chat";
"顔の神殿";"Face Shrine";"temple du Masque";
"オオワシの塔";"Eagle's Tower";"tour du Vautour";
"カメイワ";"Turtle Rock";"roc de la Tortue";
"聖なるタマゴ";"Wind Fish's Egg";"Œuf Sacré";
"つり橋";"Mountain Bridge";"pont suspendu";
"セールの家";"Sale's House O' Bananas";"chez AlligoBanane";
"アナボコ畑";"Pothole Field";"champ des pièges";
"入り江の家";"House by the Bay";"maison de la baie";
"今はやりのゲーム";"Trendy Game";"jeu dans le vent";
"村の道具屋さん";"Town Tool Shop";"bazar du centre";
"マリンとタリンの家";"Marin and Tarin's House";"chez Marine et Tarkin";
"ヤーナ砂漠";"Yarna Desert";"dunes de Yarna";
"ウクク草原";"Ukuku Prairie";"prairie Oukoukou";
"ふしぎの森";"Mysterious Forest";"forêt Enchantée";
"タマランチ山";"Mt. Tamaranch";"mont Tamaranch";
"タルタル山脈";"Tal Tal Mountain Range";"cordillère Tartare";
"カンバンの迷路";"Signpost Maze";"dédale des Panneaux";
"メーベの村";"Mabe Village";"village des Mouettes";
"どうぶつ村";"Animal Village";"village des Animaux";
"墓地";"Cemetery";"cimetière";
"急流すべり";"Rapids Ride";"descente des rapides";
"コホリント平原";"Koholint Prairie";"plaine Cocolint";
"トロンボ海岸";"Toronbo Shores";"plage Coco";
"マーサの入り江";"Martha's Bay";"baie de Martha";
"入り江の東";"East of the Bay";"est de la baie";
"ゴポンガの沼";"Goponga Swamp";"marais des Anémones";
"カナレットの城";"Kanalet Castle";"château Canulet";
"タルタル高地";"Tal Tal Heights";"plateau Tartare";
"タバールの林";"Tabahl Wasteland";"Morne Plaine";
"村の南";"South of the Village";"sud du village";
"つりぼり";"Fishing Pond";"étang";
"マダムニャンニャンの家";"Madam MeowMeow's House";"chez Mme Miaou Miaou ";
"うるりらじいさんの家";"Old Man Ulrira's House";"chez Pépé le Ramollo";
"ライトの家";"Mr. Write's House";"chez Dr Wright";
"気まぐれトレーシーの
くすり屋さん";"Crazy Tracy's Health Spa";"pharmacie de Monique";
"四つ子の家";"Quadruplets House";"chez les quadruplés";
"夢のほこら";"Dream Shrine";"gîte des Rêves";
"電話ボックス";"Telephone Booth";"cabine téléphonique";
"貝がらの館";"Seashell Mansion";"maison aux coquillages";
"リチャードの別荘";"Richard's Villa";"villa de Richard";
"ニワトリ小屋";"Henhouse";"poulailler";
"村の図書館";"Village Library";"bibliothèque";
"イカダ屋";"Raft Shop";"location de radeaux";
"ワープポイント";"Warp Point";"point de téléportation";
"神殿の滝";"Shrine Waterfall";"cascade près du temple";
"南の神殿";"Ancient Ruins";"temple du Sud";
"気まぐれトレーシーの家";"Crazy Tracy's House";"chez Monique  ";
"浜辺";"Beach";"plage";
"イヌ小屋";"Doghouse";"niche";
"どうくつ";"Cave";"grotte";
"遺跡";"Ruins";"ruines";
"コホリント島";"Koholint Island";"île Cocolint";
"ダンペイさんの[Tag Ruby  val={06000600E38193E38284} ]小屋";"Dampé's Shack";"cabane d'Igor";
"[Tag Ruby  val={03000600E381B5E3818F} ]服のダンジョン";"Color Dungeon";"temple des couleurs";
"[Tag Ruby  val={06000900E381BEE381BBE38186} ]魔法おばばの[Tag Ruby  val={03000600E38184E38188} ]家";"Witch's Hut";"hutte de la sorcière";
"[Tag Ruby  val={09001200E381ABE38293E3818EE38287E3819EE38186} ]人魚像";"Mermaid Statue";"statue de la sirène";
"剣";"Sword";"épée";
"盾";"Shield";"bouclier";
"鏡の盾";"Mirror Shield";"bouclier-reflet";
"ロック鳥の羽根";"Roc's Feather";"plume de Roc";
"パワーブレスレット";"Power Bracelet";"bracelet de force";
"パワフルブレスレット";"Powerful Bracelet";"super bracelet";
"ペガサスのくつ";"Pegasus Boots";"bottes de Pégase";
"弓矢";"Bow";"arc";
