Japanese;English;French;German;
"あける";"Open";"Ouvrir";"Öffnen";
"も つ";"Pick up";"Soulever";"Aufheben";
"なげる";"Throw";"Lancer";"Werfen";
"へきが";"Merge";"Peinture";"Betreten";
"で る";"Exit";"Sortir";"Verlassen";
"もぐる";"Dive";"Plonger";"Tauchen";
"はなす";"Talk";"Parler";"Reden";
"よ む";"Read";"Lire";"Lesen";
"み る";"View";"Regarder";"Ansehen";
"しらべる";"Check";"Examiner";"Ansehen";
"つかむ";"Grab";"Saisir";"Greifen";
"ふれる";"Touch";"Toucher";"Berühren";
"ぬ く";"Pull out";"Retirer";"Ziehen";
"つかむ";"Grab";"Saisir";"Greifen";
"つれてく";"Lead";"Suis-moi !";"Komm!";
"またせる";"Separate";"Attends !";"Warte!";
"と る";"Grab";"Prendre";"Nehmen";
"ふ る";"Swing";"Frapper";"Schwingen";
"と る";"Take";"Prendre";"Nehmen";
"忘れ物の剣";"Forgotten Sword";"Épée oubliée";"Vergessenes Schwert";
"マスターソード";"Master Sword";"Épée de légende";"Master-Schwert";
"マスターソードLV2";"Master Sword Lv2";"Épée de légende niv. 2";"Master-Schwert Lv.2";
"マスターソードLV3";"Master Sword Lv3";"Épée de légende niv. 3";"Master-Schwert Lv.3";
"緑の服";"Green Tunic";"Tunique verte";"Grünes Gewand";
"青い服";"Blue Mail";"Tunique bleue";"Blaues Gewand";
"赤い服";"Red Mail";"Tunique rouge";"Rotes Gewand";
"盾";"Shield";"Bouclier";"Schild";
"ハイリアの盾";"Hylian Shield";"Bouclier d'Hylia";"Hylia-Schild";
"ラヴィオの腕輪";"Ravio's Bracelet";"Bracelet de Lavio";"Ravios Armreif";
"ラヴィオの腕輪";"Ravio's Bracelet";"Bracelet de Lavio";"Ravios Armreif";
"パワーグローブ";"Power Glove";"Gants de puissance";"Krafthandschuh";
"パワフルグローブ";"Titan's Mitt";"Moufles du titan";"Titanenhandschuh";
"ペガサスの靴";"Pegasus Boots";"Bottes de Pégase";"Pegasus-Stiefel";
"スベスベ石";"Smooth Gem";"Pierre toute douce";"Schmeichelstein";
"ゾーラの水かき";"Zora's Flippers";"Palmes de zora";"Zora-Flossen";
"ハチバッヂ";"Bee Badge";"Badge des abeilles";"Bienenabzeichen";
"頑張りの秘訣";"Stamina Scroll";"Arcane de l'endurance";"Ausdauer-Schriftrolle";
"ハートのかけら";"Pieces of Heart";"Fragments de cœur";"Herzteil";
"ルピー";"Rupees";"Rubis";"Rubine";
"マスターストーン";"Master Ore";"Roche de légende";"Master-Erz";
"魔物の尻尾";"Monster Tail";"Queue de monstre";"Monsterschweif";
